Sample,Type,Schedule,Dose,Message
1,error,s1,596.3623316594643,Solver failed with retcode MaxIters
1,error,s1,790.6043210907702,Solver failed with retcode MaxIters
1,error,s1,1000.0,Solver failed with retcode MaxIters
1,error,s1,1048.1131341546852,Solver failed with retcode MaxIters
1,error,s2,0.09540954763499938,Solver failed with retcode MaxIters
1,error,s2,0.12648552168552962,Solver failed with retcode MaxIters
1,error,s2,0.16768329368110083,Solver failed with retcode MaxIters
1,error,s2,0.2222996482526195,Solver failed with retcode MaxIters
1,error,s2,0.29470517025518106,Solver failed with retcode MaxIters
1,error,s2,0.3906939937054617,Solver failed with retcode MaxIters
1,error,s2,0.5179474679231212,Solver failed with retcode MaxIters
1,error,s2,0.6866488450043001,Solver failed with retcode MaxIters
1,error,s2,0.9102981779915219,Solver failed with retcode MaxIters
1,error,s2,1.0,Solver failed with retcode MaxIters
1,error,s2,1.2067926406393286,Solver failed with retcode MaxIters
1,error,s2,1.599858719606058,Solver failed with retcode MaxIters
1,error,s2,2.120950887920191,Solver failed with retcode MaxIters
1,error,s2,2.8117686979742307,Solver failed with retcode MaxIters
1,error,s2,3.72759372031494,Solver failed with retcode MaxIters
1,error,s2,4.941713361323834,Solver failed with retcode MaxIters
1,error,s2,6.551285568595509,Solver failed with retcode MaxIters
6,error,s1,11.513953993264476,Solver failed with retcode MaxIters
6,error,s1,15.264179671752334,Solver failed with retcode MaxIters
6,error,s4,8.685113737513527,Solver failed with retcode MaxIters
6,error,s4,10.0,Solver failed with retcode MaxIters
6,error,s4,11.513953993264476,Solver failed with retcode MaxIters
6,error,s4,15.264179671752334,Solver failed with retcode MaxIters
6,error,s4,20.235896477251565,Solver failed with retcode MaxIters
6,error,s4,26.826957952797258,Solver failed with retcode MaxIters
13,error,s2,339.32217718953297,Solver failed with retcode MaxIters
13,error,s2,449.8432668969444,Solver failed with retcode MaxIters
13,error,s2,596.3623316594643,Solver failed with retcode MaxIters
13,error,s2,790.6043210907702,Solver failed with retcode MaxIters
13,error,s2,1000.0,Solver failed with retcode MaxIters
13,error,s2,1048.1131341546852,Solver failed with retcode MaxIters
13,error,s2,1389.4954943731375,Solver failed with retcode MaxIters
13,error,s2,1842.0699693267163,Solver failed with retcode MaxIters
13,error,s3,0.5179474679231212,Solver failed with retcode MaxIters
13,error,s3,0.6866488450043001,Solver failed with retcode MaxIters
13,error,s3,0.9102981779915219,Solver failed with retcode MaxIters
13,error,s3,1.0,Solver failed with retcode MaxIters
13,error,s3,1.2067926406393286,Solver failed with retcode MaxIters
15,error,s1,0.07196856730011521,Solver failed with retcode MaxIters
15,error,s1,0.09540954763499938,Solver failed with retcode MaxIters
15,error,s1,0.12648552168552962,Solver failed with retcode MaxIters
15,error,s1,0.16768329368110083,Solver failed with retcode MaxIters
15,error,s1,0.2222996482526195,Solver failed with retcode MaxIters
15,error,s1,0.29470517025518106,Solver failed with retcode MaxIters
15,error,s1,0.3906939937054617,Solver failed with retcode MaxIters
15,error,s1,0.5179474679231212,Solver failed with retcode MaxIters
15,error,s1,0.6866488450043001,Solver failed with retcode MaxIters
15,error,s1,0.9102981779915219,Solver failed with retcode MaxIters
15,error,s1,1.0,Solver failed with retcode MaxIters
15,error,s1,1.2067926406393286,Solver failed with retcode MaxIters
15,error,s1,1.599858719606058,Solver failed with retcode MaxIters
15,error,s1,2.120950887920191,Solver failed with retcode MaxIters
15,error,s1,2.8117686979742307,Solver failed with retcode MaxIters
15,error,s1,3.72759372031494,Solver failed with retcode MaxIters
15,error,s1,4.941713361323834,Solver failed with retcode MaxIters
15,error,s1,6.551285568595509,Solver failed with retcode MaxIters
15,error,s1,8.685113737513527,Solver failed with retcode MaxIters
15,error,s1,10.0,Solver failed with retcode MaxIters
15,error,s1,11.513953993264476,Solver failed with retcode MaxIters
15,error,s1,15.264179671752334,Solver failed with retcode MaxIters
15,error,s1,20.235896477251565,Solver failed with retcode MaxIters
15,error,s1,26.826957952797258,Solver failed with retcode MaxIters
15,error,s1,35.564803062231285,Solver failed with retcode MaxIters
15,error,s2,0.010000000000000002,Solver failed with retcode MaxIters
15,error,s2,0.013257113655901088,Solver failed with retcode MaxIters
15,error,s2,0.017575106248547922,Solver failed with retcode MaxIters
15,error,s2,0.023299518105153717,Solver failed with retcode MaxIters
15,error,s4,3.72759372031494,Solver failed with retcode MaxIters
15,error,s4,4.941713361323834,Solver failed with retcode MaxIters
15,error,s4,6.551285568595509,Solver failed with retcode MaxIters
15,error,s4,8.685113737513527,Solver failed with retcode MaxIters
15,error,s4,10.0,Solver failed with retcode MaxIters
15,error,s4,11.513953993264476,Solver failed with retcode MaxIters
15,error,s4,15.264179671752334,Solver failed with retcode MaxIters
15,error,s4,20.235896477251565,Solver failed with retcode MaxIters
15,error,s4,26.826957952797258,Solver failed with retcode MaxIters
15,error,s4,35.564803062231285,Solver failed with retcode MaxIters
15,error,s4,47.14866363457394,Solver failed with retcode MaxIters
15,error,s4,62.50551925273973,Solver failed with retcode MaxIters
15,error,s4,82.86427728546842,Solver failed with retcode MaxIters
15,error,s4,100.0,Solver failed with retcode MaxIters
15,error,s4,109.85411419875584,Solver failed with retcode MaxIters
15,error,s4,145.63484775012444,Solver failed with retcode MaxIters
15,error,s4,193.06977288832496,Solver failed with retcode MaxIters
15,error,s4,255.95479226995357,Solver failed with retcode MaxIters
15,error,s4,339.32217718953297,Solver failed with retcode MaxIters
15,error,s4,449.8432668969444,Solver failed with retcode MaxIters
15,error,s4,596.3623316594643,Solver failed with retcode MaxIters
15,error,s4,790.6043210907702,Solver failed with retcode MaxIters
15,error,s4,1000.0,Solver failed with retcode MaxIters
15,error,s4,1048.1131341546852,Solver failed with retcode MaxIters
16,error,s2,0.6866488450043001,Solver failed with retcode MaxIters
16,error,s2,1.0,Solver failed with retcode MaxIters
16,error,s2,2.120950887920191,Solver failed with retcode MaxIters
16,error,s2,2.8117686979742307,Solver failed with retcode MaxIters
16,error,s2,3.72759372031494,Solver failed with retcode MaxIters
16,error,s2,4.941713361323834,Solver failed with retcode MaxIters
16,error,s2,6.551285568595509,Solver failed with retcode MaxIters
16,error,s2,8.685113737513527,Solver failed with retcode MaxIters
16,error,s2,10.0,Solver failed with retcode MaxIters
17,error,s1,1842.0699693267163,Solver failed with retcode MaxIters
17,error,s2,0.5179474679231212,Solver failed with retcode MaxIters
17,error,s2,0.6866488450043001,Solver failed with retcode MaxIters
17,error,s2,0.9102981779915219,Solver failed with retcode MaxIters
17,error,s2,1.0,Solver failed with retcode MaxIters
17,error,s2,1.2067926406393286,Solver failed with retcode MaxIters
17,error,s2,1.599858719606058,Solver failed with retcode MaxIters
17,error,s2,2.120950887920191,Solver failed with retcode MaxIters
17,error,s2,2.8117686979742307,Solver failed with retcode MaxIters
17,error,s2,3.72759372031494,Solver failed with retcode MaxIters
17,error,s2,4.941713361323834,Solver failed with retcode MaxIters
17,error,s2,6.551285568595509,Solver failed with retcode MaxIters
17,error,s2,8.685113737513527,Solver failed with retcode MaxIters
17,error,s2,10.0,Solver failed with retcode MaxIters
17,error,s2,11.513953993264476,Solver failed with retcode MaxIters
17,error,s2,15.264179671752334,Solver failed with retcode MaxIters
17,error,s2,20.235896477251565,Solver failed with retcode MaxIters
17,error,s2,26.826957952797258,Solver failed with retcode MaxIters
17,error,s2,35.564803062231285,Solver failed with retcode MaxIters
17,error,s2,47.14866363457394,Solver failed with retcode MaxIters
17,error,s2,62.50551925273973,Solver failed with retcode MaxIters
17,error,s2,82.86427728546842,Solver failed with retcode MaxIters
17,error,s2,100.0,Solver failed with retcode MaxIters
17,error,s2,109.85411419875584,Solver failed with retcode MaxIters
17,error,s2,145.63484775012444,Solver failed with retcode MaxIters
17,error,s2,193.06977288832496,Solver failed with retcode MaxIters
17,error,s2,255.95479226995357,Solver failed with retcode MaxIters
19,error,s1,1842.0699693267163,Solver failed with retcode MaxIters
19,error,s2,4.941713361323834,Solver failed with retcode MaxIters
19,error,s2,6.551285568595509,Solver failed with retcode MaxIters
19,error,s2,8.685113737513527,Solver failed with retcode MaxIters
19,error,s2,10.0,Solver failed with retcode MaxIters
19,error,s2,11.513953993264476,Solver failed with retcode MaxIters
19,error,s2,15.264179671752334,Solver failed with retcode MaxIters
19,error,s2,20.235896477251565,Solver failed with retcode MaxIters
19,error,s2,26.826957952797258,Solver failed with retcode MaxIters
19,error,s2,35.564803062231285,Solver failed with retcode MaxIters
19,error,s2,47.14866363457394,Solver failed with retcode MaxIters
19,error,s2,62.50551925273973,Solver failed with retcode MaxIters
19,error,s2,82.86427728546842,Solver failed with retcode MaxIters
19,error,s2,100.0,Solver failed with retcode MaxIters
19,error,s2,109.85411419875584,Solver failed with retcode MaxIters
19,error,s2,145.63484775012444,Solver failed with retcode MaxIters
19,error,s2,193.06977288832496,Solver failed with retcode MaxIters
19,error,s2,255.95479226995357,Solver failed with retcode MaxIters
19,error,s2,339.32217718953297,Solver failed with retcode MaxIters
19,error,s2,449.8432668969444,Solver failed with retcode MaxIters
19,error,s2,596.3623316594643,Solver failed with retcode MaxIters
19,error,s2,790.6043210907702,Solver failed with retcode MaxIters
19,error,s2,1000.0,Solver failed with retcode MaxIters
19,error,s2,1048.1131341546852,Solver failed with retcode MaxIters
19,error,s2,1389.4954943731375,Solver failed with retcode MaxIters
19,error,s3,0.040949150623804255,Solver failed with retcode MaxIters
19,error,s3,0.054286754393238594,Solver failed with retcode MaxIters
19,error,s3,0.07196856730011521,Solver failed with retcode MaxIters
19,error,s3,0.09540954763499938,Solver failed with retcode MaxIters
19,error,s3,0.12648552168552962,Solver failed with retcode MaxIters
19,error,s3,0.16768329368110083,Solver failed with retcode MaxIters
19,error,s3,0.2222996482526195,Solver failed with retcode MaxIters
19,error,s3,0.29470517025518106,Solver failed with retcode MaxIters
19,error,s3,0.3906939937054617,Solver failed with retcode MaxIters
19,error,s3,0.5179474679231212,Solver failed with retcode MaxIters
19,error,s3,0.6866488450043001,Solver failed with retcode MaxIters
20,error,s1,449.8432668969444,Solver failed with retcode MaxIters
20,error,s1,596.3623316594643,Solver failed with retcode MaxIters
20,error,s1,790.6043210907702,Solver failed with retcode MaxIters
20,error,s1,1000.0,Solver failed with retcode MaxIters
20,error,s1,1048.1131341546852,Solver failed with retcode MaxIters
20,error,s2,0.5179474679231212,Solver failed with retcode MaxIters
20,error,s2,0.6866488450043001,Solver failed with retcode MaxIters
20,error,s2,0.9102981779915219,Solver failed with retcode MaxIters
20,error,s2,1.0,Solver failed with retcode MaxIters
20,error,s2,1.2067926406393286,Solver failed with retcode MaxIters
20,error,s2,1.599858719606058,Solver failed with retcode MaxIters
20,error,s2,2.120950887920191,Solver failed with retcode MaxIters
20,error,s2,2.8117686979742307,Solver failed with retcode MaxIters
20,error,s2,3.72759372031494,Solver failed with retcode MaxIters
20,error,s2,4.941713361323834,Solver failed with retcode MaxIters
20,error,s2,6.551285568595509,Solver failed with retcode MaxIters
20,error,s2,8.685113737513527,Solver failed with retcode MaxIters
20,error,s2,10.0,Solver failed with retcode MaxIters
20,error,s2,11.513953993264476,Solver failed with retcode MaxIters
20,error,s3,0.010000000000000002,Solver failed with retcode MaxIters
20,error,s3,0.013257113655901088,Solver failed with retcode MaxIters
20,error,s3,0.017575106248547922,Solver failed with retcode MaxIters
20,error,s3,0.023299518105153717,Solver failed with retcode MaxIters
20,error,s3,0.030888435964774818,Solver failed with retcode MaxIters
20,error,s3,0.040949150623804255,Solver failed with retcode MaxIters
24,error,s1,449.8432668969444,Solver failed with retcode MaxIters
24,error,s1,596.3623316594643,Solver failed with retcode MaxIters
24,error,s1,790.6043210907702,Solver failed with retcode MaxIters
25,error,s1,2.8117686979742307,Solver failed with retcode MaxIters
25,error,s1,3.72759372031494,Solver failed with retcode MaxIters
25,error,s4,2.8117686979742307,Solver failed with retcode MaxIters
25,error,s4,3.72759372031494,Solver failed with retcode MaxIters
25,error,s4,4.941713361323834,Solver failed with retcode MaxIters
27,error,s1,109.85411419875584,Solver failed with retcode MaxIters
27,error,s1,145.63484775012444,Solver failed with retcode MaxIters
27,error,s1,193.06977288832496,Solver failed with retcode MaxIters
27,error,s1,255.95479226995357,Solver failed with retcode MaxIters
27,error,s1,339.32217718953297,Solver failed with retcode MaxIters
27,error,s1,449.8432668969444,Solver failed with retcode MaxIters
27,error,s1,596.3623316594643,Solver failed with retcode MaxIters
27,error,s1,790.6043210907702,Solver failed with retcode MaxIters
36,error,s2,193.06977288832496,Solver failed with retcode MaxIters
36,error,s2,255.95479226995357,Solver failed with retcode MaxIters
36,error,s2,339.32217718953297,Solver failed with retcode MaxIters
36,error,s2,449.8432668969444,Solver failed with retcode MaxIters
36,error,s2,596.3623316594643,Solver failed with retcode MaxIters
36,error,s2,790.6043210907702,Solver failed with retcode MaxIters
36,error,s2,1000.0,Solver failed with retcode MaxIters
36,error,s2,1048.1131341546852,Solver failed with retcode MaxIters
36,error,s2,1389.4954943731375,Solver failed with retcode MaxIters
