"parameter","fit1","fit2","fit3","fit4","fit5"
"objective",2.94760585721439,2.94764911477216,2.94928159132249,2.94928294271307,2.94938852001535
"b",3.22743300382095e-12,3.05178919554585e-12,3.02212581711199e-12,3.07152579431964e-12,2.09700691658247e-12
"k",0.00461174381308119,0.0456453797894824,0.262917071287017,0.129613129694666,0.9992690195258
"p",119397259.206899,123753928.915852,94524401.0416102,94191151.7245673,103177251.800089
"kF",139.347366103132,136.155155658107,81.133485952567,82.2693433872044,60.3796549880612
"cV",7.45231630175664,7.43688088726414,6.96425869494572,6.96921759239608,6.7860175677452
"gF",0.00466390352657487,0.00119353283126644,1.80232521622193,1.79077116268456,2.07325920507147
"hV",63871.5155153038,59751.814722176,99999.9954250355,1e+05,1e+05
"Fmax",184.555264107023,718.76736867944,1.26881220373092,1.27157248054026,1.20831060797319
"hF",3.03324413958414,32.6629720681522,247.189153815141,122.016090490314,860.245159051668
"gS",10.4848466392494,10.5089655208607,8.66361944357726,8.6610803731453,8.74825380546308
"cS",0.130462195921889,0.131526325818593,0.112545248416599,0.112572607061341,0.111806860894656
"Emax_F",0.000122015224964731,1.0001137848819e-05,6.3151270616103e-05,4.42683834799025e-05,1.03108443214125e-05
"C50_F",86.9119995122652,5.5944692972768e-16,99.7472627320467,87.8456027599768,60.9745916622261
"C50_V",5.07354100656242e-13,5.21277648904508e-13,1.62779252892393e-12,1.60671217220224e-12,2.30496061822456e-12
